state,year,month,temperature,precipitation,snowfall,wind_speed
AL,2005,09,22.226666666666667,,,
AL,2005,10,16.232258064516124,,,
AL,2005,11,11.593333333333334,,,
AL,2005,12,8.467741935483874,,,
AL,2006,01,5.506451612903226,,,
AL,2006,02,7.764285714285713,,,
AL,2006,03,10.812903225806453,,,
AL,2006,04,15.333333333333332,,,
AL,2006,05,18.835483870967742,,,
AL,2006,06,21.833333333333332,,,
AL,2006,07,24.9,,,
AL,2006,08,23.85806451612903,,,
AL,2006,09,21.016666666666662,,,
AL,2006,10,17.241935483870964,,,
AL,2006,11,9.886666666666667,,,
AL,2006,12,7.500000000000002,,,
AL,2007,01,8.183870967741935,,,
AL,2007,02,9.596428571428572,,,
AL,2007,03,12.68064516129032,,,
AL,2007,04,15.363333333333332,,,
AL,2007,05,19.899999999999995,,,
AL,2007,06,24.34666666666666,,,
AL,2007,07,26.40967741935484,,,
AL,2007,08,25.52,,,
AL,2007,09,19.873333333333335,,,
AL,2007,10,16.15806451612903,,,
AL,2007,11,10.363333333333337,,,
AL,2007,12,6.7935483870967746,,,
AL,2008,01,7.2387096774193544,,,
AL,2008,02,7.882758620689656,,,
AL,2008,03,11.58709677419355,,,
AL,2008,04,13.743333333333334,,,
AL,2008,05,18.9,,,
AL,2008,06,23.13666666666666,,,
AL,2008,07,25.27419354838709,,,
AL,2008,08,25.299999999999994,,,
AL,2008,09,19.826666666666664,,,
AL,2008,10,16.41935483870968,,,
AL,2008,11,13.08,,,
AL,2008,12,8.20967741935484,,,
AL,2009,01,8.000000000000002,,,
AL,2009,02,6.600000000000001,,,
AL,2009,03,10.090322580645159,,,
AL,2009,04,15.483333333333338,,,
AL,2009,05,20.154838709677417,,,
AL,2009,06,21.956666666666667,,,
AL,2009,07,24.690322580645155,,,
AL,2009,08,25.658064516129034,,,
AL,2009,09,21.92666666666667,,,
AL,2009,10,15.654838709677424,,,
AL,2009,11,12.123333333333331,,,
AL,2009,12,10.26774193548387,,,
AL,2010,01,7.141935483870968,,,
AL,2010,02,8.76785714285714,,,
AL,2010,03,10.551612903225807,,,
AL,2010,04,14.950000000000001,,,
AL,2010,05,18.12258064516129,,,
AL,2010,06,22.220000000000002,,,
AL,2010,07,24.977419354838705,,,
AL,2010,08,24.951612903225804,,,
AL,2010,09,20.25333333333333,,,
AL,2010,10,15.52903225806452,,,
AL,2010,11,14.156666666666665,,,
AL,2010,12,8.406451612903227,,,
AL,2011,01,6.425806451612902,,,
AL,2011,02,7.975000000000001,,,
AL,2011,03,10.745161290322583,,,
AL,2011,04,14.453333333333328,,,
AL,2011,05,18.200000000000003,,,
AL,2011,06,22.9,,,
AL,2011,07,24.10322580645161,,,
AL,2011,08,25.0741935483871,,,
AL,2011,09,23.339999999999996,,,
AL,2011,10,14.98387096774194,,,
AL,2011,11,9.263333333333332,,,
AL,2011,12,8.274193548387094,,,
AL,2012,01,4.0935483870967735,,,
AL,2012,02,6.2379310344827585,,,
AL,2012,03,11.319354838709677,,,
AL,2012,04,13.786206896551722,,,
AL,2012,05,17.87096774193548,,,
AL,2012,06,23.889999999999997,,,
AL,2012,07,26.26451612903226,,,
AL,2012,08,25.28387096774193,,,
AL,2012,09,21.736666666666668,,,
AL,2012,10,17.735483870967737,,,
AL,2012,11,13.393333333333329,,,
AL,2012,12,6.799999999999999,,,
AL,2013,01,7.316129032258062,,,
AL,2013,02,8.489285714285712,,,
AL,2013,03,11.06774193548387,,,
AL,2013,04,15.219999999999997,,,
AL,2013,05,18.970967741935485,,,
AL,2013,06,21.456666666666667,,,
AL,2013,07,24.429032258064517,,,
AL,2013,08,25.216129032258063,,,
AL,2013,09,20.580000000000002,,,
AL,2013,10,16.55483870967742,,,
AL,2013,11,12.863333333333335,,,
AL,2013,12,6.780645161290324,,,
AL,2014,01,9.58064516129032,,,
AL,2014,02,10.417857142857144,,,
AL,2014,03,11.316129032258063,,,
AL,2014,04,13.656666666666665,,,
AL,2014,05,17.20645161290323,,,
AL,2014,06,22.240000000000002,,,
AL,2014,07,23.467741935483875,,,
AL,2014,08,24.496774193548386,,,
AL,2014,09,20.240000000000002,,,
AL,2014,10,16.45806451612903,,,
AL,2014,11,13.079999999999993,,,
AL,2014,12,8.332258064516127,,,
AL,2015,01,6.2225806451612895,,,
AL,2015,02,7.825000000000001,,,
AL,2015,03,10.82258064516129,,,
AL,2015,04,13.2,,,
AL,2015,05,19.303225806451607,,,
AL,2015,06,22.373333333333335,,,
AL,2015,07,26.89677419354838,,,
AL,2015,08,26.367741935483867,,,
AL,2015,09,22.680000000000003,,,
AL,2015,10,16.993548387096777,,,
AL,2015,11,12.433333333333335,,,
AL,2015,12,6.822580645161292,,,
AL,2016,01,7.293548387096774,,,
AL,2016,02,11.827586206896552,,,
AL,2016,03,11.429032258064517,,,
AL,2016,04,16.036666666666665,,,
AL,2016,05,17.69677419354839,,,
AL,2016,06,23.36,,,
AL,2016,07,25.648387096774186,,,
AL,2016,08,24.570967741935483,,,
AL,2016,09,20.813333333333336,,,
AL,2016,10,16.58064516129032,,,
AL,2016,11,11.593333333333334,,,
AL,2016,12,4.393548387096775,,,
AL,2017,01,3.803225806451613,,,
AL,2017,02,9.771428571428572,,,
AL,2017,03,12.196774193548388,,,
AL,2017,04,13.879999999999997,,,
AL,2017,05,18.554838709677416,,,
AL,2017,06,24.206666666666663,,,
AL,2017,07,26.167741935483868,,,
AL,2017,08,26.2516129032258,,,
AL,2017,09,20.203333333333333,,,
AL,2017,10,15.074193548387095,,,
AL,2017,11,11.069999999999999,,,
AL,2017,12,7.5,,,
AL,2018,01,7.558064516129034,,,
AL,2018,02,8.528571428571427,,,
AL,2018,03,12.035483870967749,,,
AL,2018,04,17.176666666666666,,,
AL,2018,05,20.67419354838709,,,
AL,2018,06,23.033333333333324,,,
AL,2018,07,24.919354838709673,,,
AL,2018,08,25.922580645161297,,,
AL,2018,09,22.02413793103448,,,
AL,2018,10,17.841935483870966,,,
AL,2018,11,12.966666666666669,,,
AL,2018,12,6.90967741935484,,,
AL,2019,01,4.996774193548387,,,
AL,2019,02,8.421428571428569,,,
AL,2019,03,12.280645161290327,,,
AL,2019,04,14.77666666666667,,,
AL,2019,05,16.70967741935484,,,
AL,2019,06,24.65999999999999,,,
AL,2019,07,25.090322580645164,,,
AL,2019,08,26.070967741935487,,,
AL,2019,09,22.180000000000003,,,
AL,2019,10,17.677419354838708,,,
AL,2019,11,14.913333333333336,,,
AL,2019,12,9.206451612903228,,,
AL,2020,01,5.951612903225806,,,
AL,2020,02,9.110344827586207,,,
AL,2020,03,11.493548387096773,,,
AL,2020,04,13.796666666666665,,,
AL,2020,05,18.754838709677415,,,
AL,2020,06,21.546666666666663,,,
AL,2020,07,25.11612903225807,,,
AL,2020,08,25.883870967741938,,,
AL,2020,09,22.92333333333334,,,
AL,2020,10,16.32258064516129,,,
AL,2020,11,11.106666666666671,,,
AL,2020,12,10.422580645161291,,,
AL,2021,01,7.79032258064516,,,
AL,2021,02,8.276,,,
AL,2021,03,9.190322580645162,,,
AL,2021,04,12.393333333333336,,,
AL,2021,05,18.577419354838717,,,
AL,2021,06,23.586666666666666,,,
AL,2021,07,26.5,,,
AL,2021,08,26.403225806451612,,,
AL,2021,09,21.46666666666666,,,
AL,2021,10,15.60967741935484,,,
AL,2021,11,13.856666666666662,,,
AL,2021,12,7.6258064516129025,,,
AL,2022,01,5.706451612903226,,,
AL,2022,02,8.203571428571427,,,
AL,2022,03,8.309677419354838,,,
AL,2022,04,14.039999999999994,,,
AL,2022,05,19.63548387096774,,,
AL,2022,06,25.273333333333326,,,
AL,2022,07,26.267741935483865,,,
AL,2022,08,25.706451612903226,,,
AL,2022,09,21.02333333333333,,,
AL,2022,10,16.612903225806456,,,
AL,2022,11,13.266666666666671,,,
AL,2022,12,11.32258064516129,,,
AR,2000,01,23.14280000000001,,,
AR,2001,01,23.394599999999986,,,
AR,2002,01,22.55580000000002,,,
AR,2003,01,23.640199999999975,,,
AR,2004,01,23.69559999999996,,,
AR,2005,01,24.71600000000001,,,
AR,2006,01,23.82270000000003,,,
AR,2007,01,22.870100000000004,,,
AR,2008,01,24.25740000000002,,,
AR,2009,01,22.827599999999993,,,
AR,2010,01,23.048400000000008,,,
AR,2011,01,23.3049,,,
AR,2012,01,25.04429999999997,,,
AR,2013,01,23.449300000000004,,,
AR,2014,01,23.75869999999999,,,
AR,2015,01,22.811299999999974,,,
AR,2016,01,23.113600000000005,,,
AR,2017,01,23.523300000000006,,,
AR,2018,01,23.39930000000003,,,
AR,2019,01,22.007400000000015,,,
AR,2020,01,23.51979999999998,,,
AR,2021,01,22.70169999999998,,,
AR,2022,01,25.88650000000002,,,
CA,2000,01,-16.757699999999986,,,
CA,2001,01,-13.869799999999996,,,
CA,2002,01,-10.410300000000003,,,
CA,2003,01,-13.584299999999995,,,
CA,2004,01,-19.005700000000015,,,
CA,2005,01,-16.8115,,,
CA,2006,01,-11.590399999999981,,,
CA,2007,01,-8.205599999999988,,,
CA,2008,01,-14.486100000000006,,,
CA,2009,01,-19.32040000000001,,,
CA,2010,01,-16.849999999999994,,,
CA,2011,01,-11.240599999999997,,,
CA,2012,01,-13.850899999999994,,,
CA,2013,01,-15.257500000000018,,,
CA,2014,01,-21.033500000000032,,,
CA,2015,01,-19.47259999999999,,,
CA,2016,01,-6.730700000000011,,,
CA,2017,01,-10.13039999999997,,,
CA,2018,01,-17.651699999999988,,,
CA,2019,01,-7.727400000000011,,,
CA,2020,01,-4.093100000000003,,,
CA,2021,01,-6.344700000000001,,,
CA,2022,01,-20.474199999999975,,,
CO,2000,01,23.385294117647025,,,
CO,2000,02,23.26740088105728,,,
CO,2000,03,24.331428571428567,,,
CO,2001,01,23.942803030303025,,,
CO,2001,02,24.134490238611704,,,
CO,2001,03,24.681818181818183,,,
CO,2002,01,24.22382892057027,,,
CO,2002,02,24.628397565922928,,,
CO,2002,03,24.406250000000004,,,
CO,2003,01,24.68850806451616,,,
CO,2003,02,24.97936842105263,,,
CO,2003,03,24.444827586206895,,,
CO,2004,01,23.968385650224217,,,
CO,2004,02,24.21444695259593,,,
CO,2004,03,24.624324324324334,,,
CO,2005,01,24.53201820940817,,,
CO,2005,02,23.95043988269795,,,
CO,2006,01,23.696703296703316,,,
CO,2006,02,24.13067484662577,,,
CO,2006,03,23.99223744292238,,,
CO,2007,01,24.033613445378137,,,
CO,2007,02,24.67201166180758,,,
CO,2007,03,24.325333333333354,,,
CO,2008,01,22.352525252525258,,,
CO,2008,02,22.69801324503312,,,
CO,2008,03,22.832374100719427,,,
CO,2008,04,23.074825174825175,,,
CO,2008,05,23.45070422535212,,,
CO,2008,06,23.518823529411765,,,
CO,2009,01,22.908064516129006,,,
CO,2009,02,23.092857142857145,,,
CO,2009,03,23.473036649214652,,,
CO,2010,01,25.761538461538432,,,
CO,2010,02,26.339382239382235,,,
CO,2011,01,24.808198757763964,,,
CO,2011,02,24.78769230769231,,,
CO,2012,01,24.469806763284996,,,
CO,2012,02,24.71453488372093,,,
CO,2013,01,25.44407514450869,,,
CO,2013,02,24.558441558441558,,,
CO,2014,01,24.743987823439866,,,
CO,2014,02,25.055685131195325,,,
CO,2015,01,25.328029375764952,,,
CO,2015,02,25.299453551912546,,,
CO,2016,01,26.262962962962966,,,
CO,2016,02,26.237423312883447,,,
CO,2017,01,24.632694610778454,,,
CO,2017,02,25.743636363636362,,,
CO,2018,01,24.868585131894495,,,
CO,2018,02,25.313253012048193,,,
CO,2019,01,25.393906810035848,,,
CO,2019,02,25.60613496932516,,,
CO,2020,01,25.71206690561531,,,
CO,2020,02,26.37300613496932,,,
CO,2021,01,23.617611940298477,,,
CO,2021,02,24.378729281767956,,,
CO,2021,03,23.626402640264033,,,
CO,2022,01,24.893906810035883,,,
CO,2022,02,25.13435582822087,,,
CT,2000,01,25.65211267605634,,,
CT,2000,02,26.6472340425532,,,
CT,2000,03,27.56837209302326,,,
CT,2000,04,27.354639175257724,,,
CT,2000,05,26.22972972972972,,,
CT,2000,06,24.270625000000006,,,
CT,2000,07,23.881818181818183,,,
CT,2001,01,22.916860465116287,,,
CT,2001,02,26.145762711864418,,,
CT,2001,03,26.43906249999999,,,
CT,2001,04,26.428571428571434,,,
CT,2001,05,26.409677419354836,,,
CT,2001,06,25.33793103448276,,,
CT,2001,07,24.696774193548386,,,
CT,2001,08,24.921212121212122,,,
CT,2001,09,24.18281250000001,,,
CT,2001,10,24.07471264367816,,,
CT,2001,11,24.58897637795275,,,
CT,2001,12,24.768181818181834,,,
CT,2002,01,23.583040935672518,,,
CT,2002,02,25.773758865248226,,,
CT,2002,03,26.407857142857146,,,
CT,2002,04,27.09655172413793,,,
CT,2002,05,27.23658536585366,,,
CT,2002,06,25.61764705882353,,,
CT,2002,07,25.58571428571429,,,
CT,2002,08,24.5695652173913,,,
CT,2002,09,25.12258064516129,,,
CT,2002,10,24.816666666666663,,,
CT,2002,11,25.12258064516129,,,
CT,2002,12,24.312500000000004,,,
CT,2003,01,24.958823529411767,,,
CT,2003,02,27.114285714285714,,,
CT,2003,03,27.288888888888884,,,
CT,2003,04,26.444117647058825,,,
CT,2003,05,26.607894736842102,,,
CT,2003,06,25.119444444444444,,,
CT,2003,07,24.72857142857144,,,
CT,2003,08,24.699999999999992,,,
CT,2003,09,24.662857142857145,,,
CT,2003,10,24.01896551724137,,,
CT,2003,11,25.077083333333338,,,
CT,2003,12,24.189189189189186,,,
CT,2004,01,25.01951219512195,,,
CT,2004,02,25.486046511627904,,,
CT,2004,03,27.51666666666666,,,
CT,2004,04,25.831081081081074,,,
CT,2004,05,24.879452054794534,,,
CT,2004,06,23.846153846153836,,,
CT,2004,07,23.79784946236559,,,
CT,2004,08,24.236363636363635,,,
CT,2004,09,25.125806451612902,,,
CT,2004,10,24.980645161290326,,,
CT,2004,11,25.24137931034483,,,
CT,2004,12,24.862068965517242,,,
CT,2005,01,24.991666666666664,,,
CT,2005,02,28.55384615384616,,,
CT,2005,03,27.007999999999992,,,
CT,2005,04,26.610638297872352,,,
CT,2005,05,26.01025641025641,,,
CT,2005,06,25.275675675675675,,,
CT,2005,07,24.402857142857155,,,
CT,2005,08,24.658536585365855,,,
CT,2005,09,25.514285714285716,,,
CT,2005,10,24.806250000000006,,,
CT,2005,11,25.845945945945946,,,
CT,2005,12,24.91111111111111,,,
CT,2006,01,25.812820512820515,,,
CT,2006,02,27.511428571428564,,,
CT,2006,03,26.82162162162162,,,
CT,2006,04,26.7780487804878,,,
CT,2006,05,25.61944444444445,,,
CT,2006,06,25.946153846153845,,,
CT,2006,07,24.67142857142857,,,
CT,2006,08,25.15652173913043,,,
CT,2006,09,25.24705882352941,,,
CT,2006,10,24.94545454545455,,,
CT,2006,11,24.865306122448978,,,
CT,2006,12,23.983928571428578,,,
CT,2007,01,24.65,,,
CT,2007,02,26.930555555555557,,,
CT,2007,03,27.452173913043467,,,
CT,2007,04,27.4,,,
CT,2007,05,26.804347826086957,,,
CT,2007,06,25.268085106382966,,,
CT,2007,07,24.747826086956515,,,
CT,2007,08,24.211494252873553,,,
CT,2007,09,24.21566265060241,,,
CT,2007,10,24.30909090909091,,,
CT,2007,11,24.489,,,
CT,2007,12,24.51785714285714,,,
CT,2008,01,24.897916666666664,,,
CT,2008,02,26.043478260869566,,,
CT,2008,03,26.76363636363636,,,
CT,2008,04,25.506153846153843,,,
CT,2008,05,25.571999999999985,,,
CT,2008,06,24.86455696202531,,,
CT,2008,07,23.987628865979374,,,
CT,2008,08,24.135576923076933,,,
CT,2008,09,24.450833333333346,,,
CT,2008,10,24.4217105263158,,,
CT,2008,11,24.67533333333334,,,
CT,2009,01,25.061748633879773,,,
CT,2009,02,26.422619047619044,,,
CT,2009,03,27.826779661016943,,,
CT,2009,04,26.342857142857156,,,
CT,2009,05,26.111666666666668,,,
CT,2010,01,25.403238866396766,,,
CT,2010,02,27.58115942028986,,,
CT,2010,03,26.475555555555566,,,
CT,2010,04,27.91428571428571,,,
CT,2010,05,26.95090909090909,,,
CT,2010,06,25.40608108108108,,,
CT,2010,07,24.49499999999999,,,
CT,2011,01,22.318905472636814,,,
CT,2011,02,26.579581151832475,,,
CT,2011,03,27.568067226890783,,,
CT,2011,04,26.974672489082973,,,
CT,2011,05,27.2063829787234,,,
CT,2012,01,23.119031141868504,,,
CT,2012,02,26.06523605150215,,,
CT,2012,03,27.022483221476506,,,
CT,2012,04,26.486666666666647,,,
CT,2013,01,25.0856,,,
CT,2013,02,26.501680672268908,,,
CT,2013,03,25.68659793814434,,,
CT,2013,04,25.53698630136986,,,
CT,2013,05,24.91529411764706,,,
CT,2013,06,24.087777777777774,,,
CT,2013,07,23.11348314606742,,,
CT,2013,08,22.963953488372088,,,
CT,2013,09,23.368539325842697,,,
CT,2013,10,23.063414634146337,,,
CT,2013,11,23.986153846153847,,,
CT,2014,01,25.1,,,
CT,2014,02,26.129411764705868,,,
CT,2014,03,25.814999999999998,,,
CT,2014,04,25.351020408163276,,,
CT,2014,05,25.201886792452836,,,
CT,2014,06,24.323684210526313,,,
CT,2014,07,23.756578947368418,,,
CT,2014,08,22.98554216867471,,,
CT,2014,09,23.09047619047619,,,
CT,2014,10,24.278461538461546,,,
CT,2014,11,24.108433734939766,,,
CT,2014,12,23.607317073170734,,,
CT,2015,01,22.854216867469876,,,
CT,2015,02,26.18333333333333,,,
CT,2015,03,26.219480519480523,,,
CT,2015,04,25.450724637681166,,,
CT,2015,05,25.234782608695653,,,
CT,2015,06,24.36615384615385,,,
CT,2015,07,24.30243902439024,,,
CT,2015,08,24.001204819277106,,,
CT,2015,09,24.039436619718302,,,
CT,2015,10,23.92388059701493,,,
CT,2015,11,24.979268292682924,,,
CT,2015,12,23.503296703296705,,,
CT,2016,01,24.613095238095234,,,
CT,2016,02,27.587654320987653,,,
CT,2016,03,27.156976744186046,,,
CT,2016,04,26.302325581395344,,,
CT,2016,05,25.1752688172043,,,
CT,2016,06,23.888764044943812,,,
CT,2016,07,23.735227272727276,,,
CT,2016,08,23.78804347826087,,,
CT,2016,09,23.744318181818183,,,
CT,2016,10,24.508695652173916,,,
CT,2016,11,24.97441860465116,,,
CT,2016,12,24.674285714285713,,,
CT,2017,01,25.56666666666667,,,
CT,2017,02,26.79024390243903,,,
CT,2017,03,26.837634408602156,,,
CT,2017,04,25.677528089887648,,,
CT,2017,05,24.865217391304352,,,
CT,2017,06,24.504651162790704,,,
CT,2017,07,23.261111111111113,,,
CT,2017,08,23.45494505494506,,,
CT,2017,09,23.486363636363624,,,
CT,2017,10,24.416304347826095,,,
CT,2017,11,24.543181818181814,,,
CT,2017,12,25.43125,,,
CT,2018,01,23.374193548387105,,,
CT,2018,02,26.28571428571428,,,
CT,2018,03,25.692473118279565,,,
CT,2018,04,25.810344827586206,,,
CT,2018,05,24.369565217391294,,,
CT,2018,06,24.131460674157296,,,
CT,2018,07,23.106741573033712,,,
CT,2018,08,23.36344086021505,,,
CT,2018,09,23.862650602409627,,,
CT,2018,10,24.031818181818178,,,
CT,2018,11,25.285057471264366,,,
CT,2018,12,24.48965517241379,,,
CT,2019,01,25.15934065934066,,,
CT,2019,02,25.433898305084735,,,
CT,2019,03,26.52666666666666,,,
CT,2019,04,25.959459459459453,,,
CT,2019,05,26.02666666666666,,,
CT,2019,06,25.30181818181818,,,
CT,2019,07,24.02173913043479,,,
CT,2019,08,23.497674418604653,,,
CT,2019,09,23.94,,,
CT,2019,10,23.16666666666666,,,
CT,2019,11,24.86455696202532,,,
CT,2019,12,24.308139534883715,,,
CT,2020,01,23.82065217391304,,,
CT,2020,02,26.035714285714292,,,
CT,2020,03,26.87701149425287,,,
CT,2020,04,26.308450704225343,,,
CT,2020,05,25.96133333333334,,,
CT,2020,06,24.16741573033708,,,
CT,2020,07,23.460869565217386,,,
CT,2020,08,23.94000000000002,,,
CT,2020,09,23.91000000000001,,,
CT,2020,10,24.353846153846145,,,
CT,2020,11,25.11666666666667,,,
CT,2020,12,26.217460317460322,,,
CT,2021,01,25.753623188405793,,,
CT,2021,02,26.511666666666663,,,
CT,2021,03,26.154347826086955,,,
CT,2021,04,26.69222222222222,,,
CT,2021,05,25.51739130434782,,,
CT,2021,06,24.823333333333323,,,
CT,2021,07,23.923863636363638,,,
CT,2021,08,23.81797752808989,,,
CT,2021,09,24.126666666666658,,,
CT,2021,10,24.427956989247313,,,
CT,2021,11,25.360714285714284,,,
CT,2021,12,25.538095238095227,,,
CT,2022,01,24.945454545454528,,,
CT,2022,02,26.542857142857148,,,
CT,2022,03,27.29032258064516,,,
CT,2022,04,25.035,,,
CT,2022,05,24.630379746835445,,,
CT,2022,06,24.174358974358977,,,
CT,2022,07,23.427777777777774,,,
CT,2022,08,23.665060240963857,,,
CT,2022,09,23.561363636363627,,,
CT,2022,10,24.145161290322587,,,
CT,2022,11,25.2067415730337,,,
CT,2022,12,24.976363636363626,,,
GA,2000,01,24.3551724137931,,,
GA,2000,02,25.277777777777775,,,
GA,2000,03,26.274193548387096,,,
GA,2000,04,26.083333333333336,,,
GA,2000,05,24.412903225806453,,,
GA,2000,06,26.935714285714287,,,
GA,2000,07,26.790322580645157,,,
GA,2000,08,26.772413793103446,,,
GA,2000,09,27.093103448275855,,,
GA,2000,10,26.825000000000003,,,
GA,2000,11,26.68823529411765,,,
GA,2001,02,26.236363636363635,,,
GA,2001,03,25.444827586206905,,,
GA,2001,04,25.30999999999999,,,
GA,2001,05,25.954838709677418,,,
GA,2001,06,27.66,,,
GA,2001,07,27.18148148148148,,,
GA,2001,08,27.09642857142857,,,
GA,2001,09,26.816666666666666,,,
GA,2001,10,27.970967741935482,,,
GA,2001,11,26.536666666666665,,,
GA,2001,12,25.8258064516129,,,
GA,2002,01,24.651612903225807,,,
GA,2002,02,25.425,,,
GA,2002,03,24.954838709677425,,,
GA,2002,04,24.373333333333335,,,
GA,2002,05,25.24193548387097,,,
GA,2002,06,27.563333333333325,,,
GA,2002,07,28.069565217391304,,,
GA,2002,08,27.48709677419356,,,
GA,2002,09,27.045833333333338,,,
GA,2002,10,27.814285714285717,,,
GA,2002,11,26.48333333333334,,,
GA,2002,12,25.666666666666668,,,
GA,2003,01,24.8,,,
GA,2003,04,25.368000000000002,,,
GA,2003,05,25.817857142857147,,,
GA,2003,08,26.951999999999998,,,
GA,2003,10,27.983333333333334,,,
GA,2003,11,26.986666666666668,,,
GA,2003,12,26.000000000000007,,,
GA,2004,01,24.139285714285712,,,
GA,2004,02,24.800000000000004,,,
GA,2004,03,25.896774193548385,,,
GA,2004,04,24.416666666666668,,,
GA,2004,05,25.380000000000003,,,
GA,2004,06,27.733333333333334,,,
GA,2004,07,27.17419354838709,,,
GA,2004,08,27.12580645161291,,,
GA,2004,09,27.633333333333336,,,
GA,2004,10,28.448387096774198,,,
GA,2004,11,27.518181818181816,,,
GA,2004,12,25.333333333333332,,,
GA,2005,01,22.950000000000003,,,
GA,2005,02,24.25833333333333,,,
GA,2005,03,25.93870967741935,,,
GA,2005,04,25.606666666666662,,,
GA,2005,05,28.400000000000002,,,
GA,2005,06,28.96206896551724,,,
GA,2005,07,27.524999999999995,,,
GA,2005,08,26.899999999999995,,,
GA,2005,09,27.150000000000002,,,
GA,2005,10,26.890000000000004,,,
GA,2005,11,27.599999999999998,,,
GA,2005,12,26.475862068965515,,,
GA,2006,01,23.86129032258064,,,
GA,2006,02,23.99444444444444,,,
GA,2006,03,25.83181818181818,,,
GA,2006,04,24.78461538461538,,,
GA,2006,05,25.212500000000002,,,
GA,2006,06,28.461111111111116,,,
GA,2006,07,27.700000000000003,,,
GA,2006,08,27.147999999999996,,,
GA,2006,09,27.449999999999996,,,
GA,2006,10,27.908333333333328,,,
GA,2006,11,27.708333333333332,,,
GA,2006,12,24.955555555555556,,,
GA,2007,01,24.50322580645162,,,
GA,2007,02,25.860869565217396,,,
GA,2007,03,26.170833333333334,,,
GA,2007,04,24.77,,,
GA,2007,05,26.10645161290322,,,
GA,2007,06,26.966666666666672,,,
GA,2007,07,27.540000000000003,,,
GA,2007,08,26.999999999999993,,,
GA,2007,09,26.86,,,
GA,2007,10,27.793333333333333,,,
GA,2007,11,26.983333333333327,,,
GA,2007,12,25.275,,,
GA,2008,04,24.875,,,
GA,2008,05,26.53870967741935,,,
GA,2008,06,27.95666666666668,,,
GA,2008,07,26.63333333333333,,,
GA,2008,08,26.52413793103448,,,
GA,2008,10,27.173333333333336,,,
GA,2008,11,26.580000000000002,,,
GA,2008,12,24.222580645161287,,,
GA,2009,01,22.58064516129032,,,
GA,2009,02,22.76071428571429,,,
GA,2009,03,23.422580645161286,,,
GA,2009,04,24.60333333333333,,,
GA,2009,05,25.55483870967741,,,
GA,2009,06,27.459999999999997,,,
GA,2009,07,27.580645161290324,,,
GA,2009,08,26.66129032258064,,,
GA,2009,09,26.823333333333338,,,
GA,2009,10,27.870967741935488,,,
GA,2009,11,26.05172413793104,,,
GA,2009,12,24.525806451612905,,,
GA,2010,01,24.583870967741934,,,
GA,2010,02,25.614814814814817,,,
GA,2010,03,26.706451612903223,,,
GA,2010,04,26.166666666666668,,,
GA,2010,05,26.816129032258054,,,
GA,2010,06,28.226666666666677,,,
