state,year,month,BARLEY,CORN,OATS,SOYBEANS
Arkansas,2004,8,,,,7.25
Arkansas,2004,9,,,,6.3
Arkansas,2004,10,,,,5.93
Arkansas,2004,11,,,,5.65
Arkansas,2004,12,,,,5.7
Arkansas,2005,1,,,,5.81
Arkansas,2005,2,,,,5.64
Arkansas,2005,3,,,,6.26
Arkansas,2005,4,,,,6.23
Arkansas,2005,5,,,,6.44
Arkansas,2005,6,,,,7.07
Arkansas,2005,7,,,,7.03
Arkansas,2005,8,,,,6.08
Arkansas,2005,9,,,,6.02
Arkansas,2005,10,,,,5.94
Arkansas,2005,11,,,,5.82
Arkansas,2005,12,,,,6.0
Arkansas,2006,1,,,,6.0
Arkansas,2006,2,,,,5.75
Arkansas,2006,3,,,,5.76
Arkansas,2006,4,,,,5.72
Arkansas,2006,5,,,,5.88
Arkansas,2006,6,,,,5.78
Arkansas,2006,7,,,,5.69
Arkansas,2006,8,,,,5.74
Arkansas,2006,9,,,,5.63
Arkansas,2006,10,,,,5.95
Arkansas,2006,11,,,,6.47
Arkansas,2006,12,,,,6.43
Arkansas,2007,1,,,,6.54
Arkansas,2007,2,,,,7.22
Arkansas,2007,3,,,,7.28
Arkansas,2007,4,,,,7.09
Arkansas,2007,5,,,,7.49
Arkansas,2007,6,,,,7.82
Arkansas,2007,7,,,,7.89
Arkansas,2007,8,,,,7.48
Arkansas,2007,9,,,,8.27
Arkansas,2007,10,,,,8.22
Arkansas,2007,11,,,,9.1
Arkansas,2007,12,,,,9.37
Arkansas,2008,1,,,,9.25
Arkansas,2008,2,,,,12.0
Arkansas,2008,3,,,,12.0
Arkansas,2008,4,,,,11.6
Arkansas,2008,6,,,,12.1
Arkansas,2008,7,,,,13.9
Arkansas,2008,8,,,,11.6
Arkansas,2008,9,,,,10.8
Arkansas,2008,10,,,,9.53
Arkansas,2008,11,,,,8.73
Arkansas,2008,12,,,,8.89
Arkansas,2009,1,,,,9.74
Arkansas,2009,2,,,,9.62
Arkansas,2009,3,,,,9.45
Arkansas,2009,4,,,,9.96
Arkansas,2009,5,,,,10.1
Arkansas,2009,6,,,,11.8
Arkansas,2009,7,,,,10.9
Arkansas,2009,8,,,,10.7
Arkansas,2009,9,,,,9.6
Arkansas,2009,10,,,,9.56
Arkansas,2009,11,,,,9.69
Arkansas,2009,12,,,,9.68
Arkansas,2010,1,,,,9.91
Arkansas,2010,2,,,,9.0
Arkansas,2010,3,,,,9.25
Arkansas,2010,4,,,,9.18
Arkansas,2010,5,,,,9.25
Arkansas,2010,6,,,,8.98
Arkansas,2010,7,,,,9.71
Arkansas,2010,8,,,,10.1
Arkansas,2010,9,,,,10.1
Arkansas,2010,10,,,,10.8
Arkansas,2010,11,,,,11.4
Arkansas,2010,12,,,,11.5
Arkansas,2011,1,,,,11.2
Arkansas,2011,2,,,,12.8
Arkansas,2011,3,,,,12.5
Arkansas,2011,4,,,,13.1
Arkansas,2011,5,,,,12.0
Arkansas,2011,6,,,,12.8
Arkansas,2011,7,,,,13.8
Arkansas,2011,8,,,,13.2
Arkansas,2011,9,,,,11.8
Arkansas,2011,10,,,,12.0
Arkansas,2011,11,,,,12.1
Arkansas,2011,12,,,,11.8
Arkansas,2012,1,,,,12.2
Arkansas,2012,2,,,,12.4
Arkansas,2012,3,,,,13.2
Arkansas,2012,4,,,,14.0
Arkansas,2012,5,,,,13.8
Arkansas,2012,6,,,,14.3
Arkansas,2012,7,,,,16.5
Arkansas,2012,8,,,,14.7
Arkansas,2012,9,,,,14.1
Arkansas,2012,10,,,,14.3
Arkansas,2012,11,,,,14.5
Arkansas,2012,12,,,,14.6
Arkansas,2013,1,,,,14.5
Arkansas,2013,2,,,,14.9
Arkansas,2013,3,,,,14.1
Arkansas,2013,4,,,,14.2
Arkansas,2013,5,,,,15.0
Arkansas,2013,6,,,,15.2
Arkansas,2013,7,,,,14.8
Arkansas,2013,9,,,,13.3
Arkansas,2013,10,,,,13.0
Arkansas,2013,11,,,,13.0
Arkansas,2013,12,,,,13.2
Arkansas,2014,1,,,,13.3
Arkansas,2014,2,,,,13.5
Arkansas,2014,3,,,,14.0
Arkansas,2014,4,,,,14.6
Arkansas,2014,5,,,,14.3
Arkansas,2014,6,,,,15.0
Arkansas,2014,7,,,,13.1
Arkansas,2014,8,,,,12.4
Arkansas,2014,9,,,,10.7
Arkansas,2014,10,,,,10.6
Arkansas,2014,11,,,,10.8
Arkansas,2014,12,,,,10.7
Arkansas,2015,1,,,,10.7
Arkansas,2015,2,,,,10.5
Arkansas,2015,3,,,,10.3
Arkansas,2015,4,,,,10.1
Arkansas,2015,5,,,,9.88
Arkansas,2015,6,,,,9.9
Arkansas,2015,7,,,,10.0
Arkansas,2015,8,,,,9.8
Arkansas,2015,9,,,,9.76
Arkansas,2015,10,,,,9.54
Arkansas,2015,11,,,,9.23
Arkansas,2015,12,,,,9.32
Arkansas,2016,1,,,,9.1
Arkansas,2016,2,,,,8.98
Arkansas,2016,3,,,,9.25
Arkansas,2016,5,,,,10.2
Arkansas,2016,7,,,,10.3
Arkansas,2016,8,,,,10.4
Arkansas,2016,9,,,,9.69
Arkansas,2016,10,,,,9.76
Arkansas,2016,11,,,,9.88
Arkansas,2016,12,,,,9.97
Arkansas,2017,1,,,,10.2
Arkansas,2017,2,,,,10.1
Arkansas,2017,3,,,,10.3
Arkansas,2017,6,,,,9.45
Arkansas,2017,9,,3.58,,9.75
Arkansas,2017,10,,3.46,,9.68
Arkansas,2017,11,,3.27,,
Arkansas,2017,12,,3.36,,9.69
Arkansas,2018,1,,3.81,,9.85
Arkansas,2018,2,,3.73,,10.1
Arkansas,2018,3,,3.75,,10.1
Arkansas,2018,4,,3.82,,10.1
Arkansas,2018,5,,4.02,,9.76
Arkansas,2018,6,,3.6,,8.64
Arkansas,2018,7,,3.87,,
Arkansas,2018,8,,3.92,,
Arkansas,2018,9,,3.65,,9.39
Arkansas,2018,10,,3.58,,8.61
Arkansas,2018,11,,3.68,,8.8
Arkansas,2018,12,,3.78,,9.0
Arkansas,2019,1,,3.83,,8.96
Arkansas,2019,2,,3.81,,8.72
Arkansas,2019,3,,3.61,,8.4
Arkansas,2019,4,,3.59,,8.09
Arkansas,2019,5,,4.03,,7.98
Arkansas,2019,6,,4.22,,
Arkansas,2019,7,,4.05,,8.53
Arkansas,2019,8,,3.98,,8.46
Arkansas,2019,9,,,,8.73
Arkansas,2019,10,,,,8.92
Arkansas,2019,11,,,,9.0
Arkansas,2019,12,,,,8.9
Arkansas,2020,1,,,,8.95
Arkansas,2020,2,,,,8.75
Arkansas,2020,3,,,,8.5
Arkansas,2020,4,,,,8.31
Arkansas,2020,5,,,,8.43
Arkansas,2020,6,,,,8.35
Arkansas,2020,7,,,,8.68
Arkansas,2020,8,,,,9.43
Arkansas,2020,9,,,,9.78
Arkansas,2020,10,,,,9.98
Arkansas,2020,11,,,,10.3
Arkansas,2020,12,,,,10.7
Arkansas,2021,1,,,,11.2
Arkansas,2021,2,,,,12.9
Arkansas,2021,3,,,,12.2
Arkansas,2021,4,,,,14.7
Arkansas,2021,5,,,,13.6
Arkansas,2021,7,,,,14.4
Arkansas,2021,8,,,,13.2
Arkansas,2021,10,,,,12.2
Arkansas,2021,11,,,,12.1
Arkansas,2021,12,,,,12.4
Arkansas,2022,1,,,,13.5
Arkansas,2022,3,,,,15.6
Arkansas,2022,4,,,,14.9
Arkansas,2022,5,,,,16.3
Arkansas,2022,6,,,,15.8
Arkansas,2022,8,,,,15.4
Arkansas,2022,9,,,,13.9
Arkansas,2022,10,,,,13.7
Arkansas,2022,11,,,,14.0
Arkansas,2022,12,,,,14.7
California,2000,1,2.25,,,
California,2000,2,2.45,,,
California,2000,3,2.48,,,
California,2000,4,2.38,,,
California,2000,5,2.42,,,
California,2000,6,2.46,,,
California,2000,7,2.43,,,
California,2000,8,2.31,,,
California,2000,10,1.35,,,
California,2000,11,2.46,,,
California,2000,12,2.34,,,
California,2001,1,2.45,,,
California,2001,2,2.28,,,
California,2001,3,2.4,,,
California,2001,6,2.39,,,
California,2001,7,2.25,,,
California,2001,8,2.18,,,
California,2001,9,2.19,,,
California,2001,10,2.42,,,
California,2001,12,2.28,,,
California,2003,6,2.8,,,
California,2003,7,2.7,,,
California,2003,8,2.65,,,
California,2003,10,3.03,,,
California,2004,6,2.75,,,
California,2004,7,2.84,,,
California,2005,8,2.28,,,
California,2006,1,2.82,,,
California,2006,5,2.88,,,
California,2006,6,2.39,,,
California,2006,7,2.84,,,
California,2006,8,2.64,,,
California,2007,6,3.73,,,
California,2010,7,3.32,,,
California,2011,5,5.98,,,
California,2011,6,5.56,,,
California,2011,7,5.88,,,
California,2012,6,5.73,,,
California,2014,6,5.52,,,
California,2014,8,6.86,,,
California,2016,5,4.89,,,
California,2016,6,4.17,,,
California,2016,7,4.11,,,
California,2017,2,4.67,,,
California,2017,6,4.39,,,
California,2017,8,4.23,,,
California,2021,10,5.12,,,
Colorado,2000,1,1.98,1.77,,
Colorado,2000,2,1.79,1.93,,
Colorado,2000,3,1.58,1.94,,
Colorado,2000,4,1.88,2.03,,
Colorado,2000,5,1.85,2.1,,
Colorado,2000,6,1.84,2.03,,
Colorado,2000,7,3.31,2.02,,
Colorado,2000,8,3.17,1.81,,
Colorado,2000,9,2.54,1.89,,
Colorado,2000,10,3.05,2.0,,
Colorado,2000,11,2.02,2.07,,
Colorado,2000,12,1.84,2.1,,
Colorado,2001,1,1.58,2.16,,
Colorado,2001,2,1.84,2.09,,
Colorado,2001,3,1.97,2.12,,
Colorado,2001,4,2.07,2.11,,
Colorado,2001,5,1.8,1.98,,
Colorado,2001,6,1.92,2.0,,
Colorado,2001,7,1.78,2.1,,
Colorado,2001,8,2.99,2.17,,
Colorado,2001,9,2.69,2.08,,
Colorado,2001,10,2.47,2.12,,
Colorado,2001,11,2.39,1.98,,
Colorado,2001,12,2.05,2.05,,
Colorado,2002,1,2.12,2.09,,
Colorado,2002,2,2.16,2.03,,
Colorado,2002,3,1.97,2.07,,
Colorado,2002,4,,2.04,,
Colorado,2002,5,1.96,2.02,,
Colorado,2002,6,,2.13,,
Colorado,2002,7,2.67,2.49,,
Colorado,2002,8,3.0,2.5,,
Colorado,2002,9,3.0,2.77,,
Colorado,2002,10,3.2,2.61,,
Colorado,2002,11,3.14,2.54,,
Colorado,2002,12,3.06,2.55,,
Colorado,2003,1,2.99,2.52,,
Colorado,2003,2,2.81,2.53,,
Colorado,2003,3,2.16,2.54,,
Colorado,2003,4,2.73,2.54,,
Colorado,2003,5,2.62,2.6,,
Colorado,2003,6,2.21,2.53,,
Colorado,2003,7,2.22,2.39,,
Colorado,2003,8,3.08,2.33,,
Colorado,2003,9,3.09,2.36,,
Colorado,2003,10,2.98,2.27,,
Colorado,2003,11,3.07,2.3,,
Colorado,2003,12,2.87,2.34,,
Colorado,2004,1,3.03,2.51,,
Colorado,2004,2,2.96,2.61,,
Colorado,2004,3,,2.71,,
Colorado,2004,4,,2.85,,
Colorado,2004,5,,2.98,,
Colorado,2004,6,,2.97,,
Colorado,2004,7,2.19,2.9,,
Colorado,2004,8,2.56,2.75,,
Colorado,2004,9,3.11,2.72,,
Colorado,2004,10,2.69,2.36,,
Colorado,2004,11,2.99,2.42,,
Colorado,2004,12,2.84,2.22,,
Colorado,2005,1,2.81,2.22,,
Colorado,2005,2,2.34,2.03,,
Colorado,2005,3,2.51,2.21,,
Colorado,2005,4,,2.11,,
Colorado,2005,5,,2.16,,
Colorado,2005,6,,2.17,,
Colorado,2005,7,,2.28,,
Colorado,2005,8,2.74,2.22,,
Colorado,2005,9,3.12,2.21,,
Colorado,2005,10,3.13,2.28,,
Colorado,2005,11,2.15,2.19,,
Colorado,2005,12,,2.11,,
Colorado,2006,1,,2.16,,
Colorado,2006,2,,2.18,,
Colorado,2006,3,,2.19,,
Colorado,2006,4,,2.26,,
Colorado,2006,5,,2.34,,
Colorado,2006,6,,2.44,,
Colorado,2006,7,,2.44,,
Colorado,2006,8,,2.48,,
Colorado,2006,9,,2.43,,
Colorado,2006,10,2.47,2.68,,
Colorado,2006,11,3.35,2.8,,
Colorado,2006,12,,2.88,,
Colorado,2007,1,,3.13,,
Colorado,2007,2,,3.27,,
Colorado,2007,3,,3.2,,
Colorado,2007,4,,3.15,,
Colorado,2007,5,,3.43,,
Colorado,2007,6,,3.56,,
Colorado,2007,7,3.75,3.48,,
Colorado,2007,8,3.39,3.54,,
Colorado,2007,9,3.37,3.61,,
Colorado,2007,10,3.44,3.43,,
Colorado,2007,11,3.45,3.51,,
Colorado,2007,12,3.43,3.6,,
Colorado,2008,1,,3.91,,
Colorado,2008,2,,4.36,,
Colorado,2008,3,,4.33,,
Colorado,2008,4,,4.7,,
Colorado,2008,5,,4.55,,
Colorado,2008,6,,5.04,,
Colorado,2008,7,5.49,4.71,,
Colorado,2008,8,,4.59,,
Colorado,2008,9,5.43,4.5,,
Colorado,2008,10,5.0,4.1,,
Colorado,2008,11,5.21,4.5,,
Colorado,2008,12,,4.21,,
Colorado,2009,1,,4.37,,
Colorado,2009,2,,3.97,,
Colorado,2009,3,,3.86,,
Colorado,2009,4,,3.87,,
Colorado,2009,5,,3.97,,
Colorado,2009,6,,4.02,,
Colorado,2009,7,,3.74,,
Colorado,2009,8,5.32,3.62,,
Colorado,2009,9,4.51,3.51,,
Colorado,2009,10,5.38,3.82,,
Colorado,2009,11,5.22,3.79,,
Colorado,2009,12,5.15,3.69,,
Colorado,2010,1,,3.73,,
Colorado,2010,2,,3.56,,
Colorado,2010,3,,3.62,,
Colorado,2010,4,,3.31,,
Colorado,2010,5,,3.45,,
Colorado,2010,6,,3.5,,
Colorado,2010,7,4.22,3.48,,
Colorado,2010,8,2.78,3.68,,
Colorado,2010,9,3.86,3.97,,
Colorado,2010,10,4.12,4.23,,
Colorado,2010,11,4.13,4.33,,
Colorado,2010,12,,4.66,,
Colorado,2011,1,,4.77,,
Colorado,2011,2,4.08,5.36,,
Colorado,2011,3,2.93,5.21,,
Colorado,2011,4,,6.05,,
Colorado,2011,5,,6.55,,
Colorado,2011,6,,6.57,,
Colorado,2011,7,,6.6,,
Colorado,2011,8,5.25,7.06,,
Colorado,2011,9,,6.61,,
Colorado,2011,10,,5.78,,
Colorado,2011,11,5.3,5.85,,
Colorado,2011,12,4.78,6.09,,
Colorado,2012,1,5.22,6.05,,
Colorado,2012,2,5.27,6.3,,
Colorado,2012,3,5.28,6.37,,
Colorado,2012,4,,6.34,,
Colorado,2012,5,,6.21,,
Colorado,2012,6,6.48,6.37,,
Colorado,2012,7,6.53,6.98,,
Colorado,2012,8,6.71,7.6,,
Colorado,2012,9,6.65,6.67,,
Colorado,2012,10,6.74,6.45,,
Colorado,2012,11,6.61,6.69,,
Colorado,2012,12,6.83,7.01,,
Colorado,2013,1,,6.86,,
Colorado,2013,2,,7.26,,
Colorado,2013,3,,7.21,,
Colorado,2013,4,,7.0,,
Colorado,2013,5,,6.98,,
Colorado,2013,6,,7.3,,
Colorado,2013,7,6.52,7.06,,
Colorado,2013,8,,6.8,,
Colorado,2013,9,6.26,6.07,,
Colorado,2013,10,,5.02,,
Colorado,2013,11,,4.71,,
Colorado,2013,12,,4.58,,
Colorado,2014,1,,4.52,,
Colorado,2014,2,4.02,4.49,,
Colorado,2014,3,,4.65,,
Colorado,2014,4,,4.82,,
Colorado,2014,5,,4.91,,
Colorado,2014,6,,4.8,,
Colorado,2014,7,,4.62,,
Colorado,2014,8,4.73,4.33,,
Colorado,2014,9,6.28,3.95,,
Colorado,2014,10,,3.82,,
Colorado,2014,11,,4.05,,
Colorado,2014,12,,4.13,,
Colorado,2015,1,,4.1,,
Colorado,2015,2,,3.78,,
Colorado,2015,3,,3.94,,
Colorado,2015,4,7.89,3.86,,
Colorado,2015,5,,3.64,,
Colorado,2015,6,6.3,3.73,,
Colorado,2015,7,,4.07,,
Colorado,2015,8,5.98,3.82,,
Colorado,2015,9,6.13,3.8,,
Colorado,2015,10,,3.99,,
Colorado,2015,11,6.23,3.72,,
Colorado,2015,12,,3.67,,
Colorado,2016,1,6.24,3.78,,
Colorado,2016,2,6.24,3.51,,
Colorado,2016,3,6.24,3.61,,
Colorado,2016,4,,3.6,,
Colorado,2016,5,6.24,3.64,,
Colorado,2016,6,,3.85,,
Colorado,2016,7,5.45,3.64,,
Colorado,2016,8,4.67,3.43,,
Colorado,2016,9,5.26,3.31,,
Colorado,2016,10,5.56,3.36,,
Colorado,2016,11,,3.3,,
Colorado,2016,12,5.63,3.51,,
Colorado,2017,1,,3.33,,
Colorado,2017,2,5.29,3.46,,
Colorado,2017,3,5.45,3.62,,
Colorado,2017,4,5.38,3.41,,
Colorado,2017,5,,3.5,,
Colorado,2017,6,5.38,3.55,,
Colorado,2017,7,4.28,3.72,,
Colorado,2017,8,4.46,3.26,,
Colorado,2017,9,4.53,3.37,,
Colorado,2017,10,4.81,3.39,,
Colorado,2017,11,4.69,3.24,,
Colorado,2017,12,,3.25,,
Colorado,2018,1,,3.32,,
Colorado,2018,2,4.8,3.31,,
Colorado,2018,3,,3.49,,
Colorado,2018,4,4.49,3.56,,
Colorado,2018,5,4.45,3.66,,
Colorado,2018,6,,3.62,,
Colorado,2018,7,4.08,3.58,,
Colorado,2018,8,4.25,3.41,,
Colorado,2018,9,,3.47,,
Colorado,2018,10,,3.67,,
Colorado,2018,11,4.65,3.65,,
Colorado,2018,12,4.67,3.51,,
Colorado,2019,1,4.66,3.59,,
Colorado,2019,2,4.6,3.56,,
Colorado,2019,3,4.68,3.66,,
Colorado,2019,4,4.66,3.58,,
Colorado,2019,5,,3.97,,
Colorado,2019,6,4.68,4.05,,
Colorado,2019,7,,4.18,,
Colorado,2019,8,4.65,4.04,,
Colorado,2019,9,4.65,4.0,,
Colorado,2019,10,4.65,3.91,,
Colorado,2019,11,,3.84,,
Colorado,2019,12,,3.79,,
Colorado,2020,1,,3.89,,
Colorado,2020,2,5.06,3.78,,
Colorado,2020,3,4.94,3.74,,
Colorado,2020,4,5.28,3.34,,
Colorado,2020,5,,3.36,,
Colorado,2020,6,5.21,3.08,,
Colorado,2020,7,5.29,3.46,,
Colorado,2020,8,4.81,3.45,,
Colorado,2020,9,4.85,3.55,,
Colorado,2020,10,5.03,4.18,,
Colorado,2020,11,5.11,4.04,,
Colorado,2020,12,4.75,4.16,,
Colorado,2021,1,4.89,4.54,,
Colorado,2021,2,4.95,4.9,,
Colorado,2021,3,4.92,4.95,,
Colorado,2021,4,5.07,5.4,,
Colorado,2021,5,4.91,6.0,,
Colorado,2021,6,5.05,6.43,,
Colorado,2021,7,4.86,6.55,,
Colorado,2021,8,4.92,6.66,,
Colorado,2021,9,4.72,5.8,,
Colorado,2021,10,4.92,5.28,,
Colorado,2021,11,4.91,5.65,,
Colorado,2021,12,5.02,5.55,,
Colorado,2022,1,5.15,5.9,,
Colorado,2022,2,4.95,6.3,,
Colorado,2022,3,4.96,6.79,,
Colorado,2022,4,4.94,7.12,,
Colorado,2022,5,5.38,7.46,,
Colorado,2022,6,5.1,7.96,,
Colorado,2022,7,5.3,8.11,,
Colorado,2022,8,6.46,8.14,,
Colorado,2022,9,6.9,8.12,,
Colorado,2022,10,6.29,8.07,,
Colorado,2022,11,7.16,7.32,,
Colorado,2022,12,6.63,7.36,,
Georgia,2000,1,,2.48,,4.73
Georgia,2000,2,,2.54,,5.08
Georgia,2000,3,,2.57,,5.21
Georgia,2000,4,,2.65,,5.35
Georgia,2000,5,,2.59,,5.54
Georgia,2000,6,,2.63,,
Georgia,2000,7,,2.2,,4.23
Georgia,2000,8,,1.84,,4.55
Georgia,2000,9,,2.03,,4.53
Georgia,2000,10,,1.9,,4.31
Georgia,2000,11,,2.26,,4.39
Georgia,2000,12,,2.44,,4.64
Georgia,2001,1,,2.54,,4.44
Georgia,2001,2,,2.58,,4.4
Georgia,2001,3,,2.57,,4.15
Georgia,2001,4,,2.67,,4.06
Georgia,2001,5,,2.31,,4.05
Georgia,2001,6,,2.28,,4.3
Georgia,2001,7,,2.37,,
Georgia,2001,8,,2.29,,
Georgia,2001,9,,2.18,,4.75
Georgia,2001,10,,2.03,,
Georgia,2017,9,,4.16,,
Georgia,2017,10,,4.21,,
Georgia,2017,11,,4.23,,
Georgia,2017,12,,4.42,,
Georgia,2018,1,,4.37,,
Georgia,2018,2,,4.4,,
Georgia,2018,3,,4.59,,
Georgia,2018,5,,4.87,,
Georgia,2018,8,,4.11,,
Georgia,2018,9,,4.13,,
Georgia,2018,10,,4.18,,
Georgia,2018,11,,4.47,,
Georgia,2019,4,,4.35,,
Georgia,2019,5,,4.58,,
Georgia,2019,8,,4.3,,
Idaho,2000,1,2.23,,,
Idaho,2000,2,2.57,,,
Idaho,2000,3,2.61,,,
Idaho,2000,4,2.48,,,
Idaho,2000,5,2.5,,,
Idaho,2000,6,2.55,,,
Idaho,2000,7,2.93,,,
Idaho,2000,8,2.86,,,
Idaho,2000,9,2.37,,,
Idaho,2000,10,2.16,,,
Idaho,2000,11,2.52,,,
Idaho,2000,12,2.62,,,
Idaho,2001,1,2.48,,,
Idaho,2001,2,2.68,,,
Idaho,2001,3,2.67,,,
Idaho,2001,4,2.71,,,
Idaho,2001,5,2.6,,,
Idaho,2001,6,2.23,,,
Idaho,2001,7,2.65,,,
Idaho,2001,8,2.98,,,
Idaho,2001,9,2.86,,,
Idaho,2001,10,2.79,,,
Idaho,2001,11,2.68,,,
Idaho,2001,12,2.53,,,
Idaho,2002,1,2.74,,,
Idaho,2002,2,2.87,,,
Idaho,2002,3,2.77,,,
Idaho,2002,4,2.69,,,
Idaho,2002,5,2.8,,,
Idaho,2002,6,2.74,,,
Idaho,2002,7,2.89,,,
Idaho,2002,8,3.05,,,
Idaho,2002,9,2.97,,,
Idaho,2002,10,2.9,,,
Idaho,2002,11,3.02,,,
Idaho,2002,12,3.09,,,
Idaho,2003,1,3.05,,,
Idaho,2003,2,3.15,,,
Idaho,2003,3,3.03,,,
Idaho,2003,4,3.14,,,
Idaho,2003,5,3.11,,,
Idaho,2003,6,3.1,,,
Idaho,2003,7,2.91,,,
Idaho,2003,8,3.2,,,
Idaho,2003,9,3.16,,,
Idaho,2003,10,2.95,,,
Idaho,2003,11,3.12,,,
Idaho,2003,12,3.28,,,
Idaho,2004,1,2.89,,,
Idaho,2004,2,3.14,,,
Idaho,2004,3,3.22,,,
Idaho,2004,4,3.18,,,
Idaho,2004,5,3.0,,,
Idaho,2004,6,3.32,,,
Idaho,2004,7,3.27,,,
Idaho,2004,8,3.13,,,
Idaho,2004,9,2.91,,,
Idaho,2004,10,2.74,,,
Idaho,2004,11,2.84,,,
Idaho,2004,12,2.92,,,
Idaho,2005,1,2.88,,,
Idaho,2005,2,3.05,,,
Idaho,2005,3,3.11,,,
Idaho,2005,4,3.04,,,
Idaho,2005,5,3.19,,,
Idaho,2005,6,3.25,,,
Idaho,2005,7,3.21,,,
Idaho,2005,8,3.08,,,
Idaho,2005,9,2.76,,,
Idaho,2005,10,2.71,,,
Idaho,2005,11,2.96,,,
Idaho,2005,12,2.82,,,
Idaho,2006,1,2.94,,,
Idaho,2006,2,2.91,,,
Idaho,2006,3,3.07,,,
Idaho,2006,4,3.0,,,
Idaho,2006,5,3.14,,,
Idaho,2006,6,3.22,,,
Idaho,2006,7,3.14,,,
Idaho,2006,8,3.0,,,
Idaho,2006,9,2.7,,,
Idaho,2006,10,2.98,,,
Idaho,2006,11,3.18,,,
Idaho,2006,12,3.2,,,
Idaho,2007,1,3.2,,,
Idaho,2007,2,3.22,,,
Idaho,2007,3,3.42,,,
Idaho,2007,4,3.25,,,
Idaho,2007,5,3.34,,,
Idaho,2007,6,3.24,,,
Idaho,2007,7,3.44,,,
Idaho,2007,8,3.74,,,
Idaho,2007,9,4.03,,,
Idaho,2007,10,4.4,,,
Idaho,2007,11,4.19,,,
Idaho,2007,12,4.41,,,
Idaho,2008,1,4.38,,,
Idaho,2008,2,4.22,,,
Idaho,2008,3,4.07,,,
Idaho,2008,4,4.33,,,
Idaho,2008,5,4.1,,,
Idaho,2008,6,3.77,,,
Idaho,2008,7,5.19,,,
Idaho,2008,8,5.91,,,
Idaho,2008,9,7.6,,,
Idaho,2008,10,6.52,,,
Idaho,2008,11,5.58,,,
Idaho,2008,12,5.91,,,
Idaho,2009,1,5.69,,,
Idaho,2009,2,4.58,,,
Idaho,2009,3,4.67,,,
Idaho,2009,4,5.54,,,
Idaho,2009,5,4.79,,,
Idaho,2009,6,5.52,,,
Idaho,2009,7,5.7,,,
Idaho,2009,8,5.66,,,
Idaho,2009,9,5.34,,,
Idaho,2009,10,4.72,,,
Idaho,2009,11,4.85,,,
Idaho,2009,12,4.76,,,
Idaho,2010,1,5.23,,,
Idaho,2010,2,4.85,,,
Idaho,2010,3,4.71,,,
Idaho,2010,4,5.12,,,
Idaho,2010,5,4.59,,,
Idaho,2010,6,5.09,,,
Idaho,2010,7,5.01,,,
Idaho,2010,8,3.99,,,
